AAG	MPG
AAH	ASPH
AAK1	AAK1
AAKG2	PRKAG2
AAKG	PRKAG2
AAM-B	METTL7A
AAMB	METTL7A
AAMDC	AAMDC
AAMP	AAMP
AAMR	GMPPA
AANAT	AANAT
AAP1	RYBP
AAPA3037	SUMF1
AAP	SERPINF2
AAP-S	NPEPPS
AAR2	AAR2
AARD	AARD
AARE	APEH
AARF	ADCK2
AARS2	AARS2
AARS	AARS
AARSD1	AARSD1
AARSL	AARS2
AARSP1	AARSP1
AASDH	AASDH
AASDHPPT	AASDHPPT
AASD-PPT	AASDHPPT
AAS	FGD1
AASL548	TMEM234
AASS	AASS
AAT10	LOX
AAT11	FOXE3
AAT1alpha	MAATS1
AAT1	GPT
AAT1	MAATS1
AAT3	TGFBR2
AAT4	MYH11
AAT5	TGFBR1
AAT7	MYLK
AAT8	PRKG1
AAT9	MFAP5
AATBC	AATBC
AA	TEAD1
AATF	AATF
AATK	AATK
AATK-AS1	PVALEF
AAT	SERPINA1
AATYK1	AATK
AATYK2	LMTK2
AATYK	AATK
AAVG5835	MRPL55
AAVR	KIAA0319
AAVR	KIAA0319L
AAVRL	KIAA0319L
AAVS1	PPP1R12C
AB13	NBPF1
AB14	NBPF1
AB14	NBPF15
AB23	NBPF1
AB6	NBPF10
ABAD	HSD17B10
ABALON	ABALON
ABAT	ABAT
ABBA-1	MTSS2
ABBA1	MTSS2
ABBA	MTSS2
ABBP1	HNRNPAB
ABBP-2	DNAJB11
ABBP2	DNAJB11
ABC10	ABCA4
ABC10-alpha	POLR2K
ABC13	ABCA5
ABC15	ABCG2
ABC16	ABCB11
ABC17	TAP1
ABC18	TAP2
ABC-1	ABCA1
ABC1	ABCA1
ABC1	HEATR6
ABC20	ABCB1
ABC21	ABCB4
ABC27	ABCF1
ABC28	ABCF2
ABC29	ABCC1
ABC2	ABCA2
ABC30	ABCC2
ABC31	ABCC3
ABC33	ABCC5
ABC34	ABCC6
ABC35	CFTR
ABC36	ABCC8
ABC37	ABCC9
ABC38	ABCE1
ABC39	ABCD2
ABC3	ABCA3
ABC41	ABCD4
ABC42	ABCD1
ABC43	ABCD3
ABC50	ABCF1
ABC7	ABCB7
ABC8	ABCG1
ABCA10	ABCA10
ABCA11	ABCA11P
ABCA11P	ABCA11P
ABCA12	ABCA12
ABCA13	ABCA13
ABCA17	ABCA17P
ABCA17P	ABCA17P
ABCA1	ABCA1
ABCA2	ABCA2
ABCA3	ABCA3
ABCA4	ABCA4
ABCA5	ABCA5
ABCA6	ABCA6
ABCA7	ABCA7
ABCA8	ABCA8
ABCA9	ABCA9
ABCA9-AS1	ABCA9-AS1
ABC	ABCB6
ABCA-SSN	ABCA7
ABCB10	ABCB10
ABCB10P1	ABCB10P1
ABCB10P2	ABCB10P1
ABCB10P3	ABCB10P3
ABCB10P4	ABCB10P4
ABCB10P	ABCB10P1
ABCB11	ABCB11
ABCB1	ABCB1
ABCB2	TAP1
ABCB3	TAP2
ABCB4	ABCB4
ABCB5	ABCB5
ABCB5alpha	ABCB5
ABCB5beta	ABCB5
ABCB6	ABCB6
ABCB7	ABCB7
ABCB8	ABCB8
ABCB9	ABCB9
ABCC10	ABCC10
ABCC11	ABCC11
ABCC12	ABCC12
ABCC13	ABCC13
ABCC13P	ABCC13
ABCC1	ABCC1
ABCC2	ABCC2
ABCC3	ABCC3
ABCC4	ABCC4
ABCC5	ABCC5
ABCC5-AS1	ABCC5-AS1
ABCC6	ABCC6
ABCC6P1	ABCC6P1
ABCC6P2	ABCC6P2
ABCC7	CFTR
ABCC8	ABCC8
ABCC9	ABCC9
ABC-C	ABCA3
ABCC	ABCC1
ABCD1	ABCD1
ABCD-1	CCL22
ABCD1P2	ABCD1P2
ABCD1P3	ABCD1P3
ABCD1P4	ABCD1P4
ABCD1P5	ABCD1P5
ABCD2	ABCD2
ABCD-2	CCL17
ABCD3	ABCD3
ABCD-3	CX3CL1
ABCD4	ABCD4
ABCDS	EDNRB
ABCE1	ABCE1
ABCF1	ABCF1
ABCF2	ABCF2
ABCF2P1	ABCF2P1
ABCF2P2	ABCF2P2
ABCF3	ABCF3
ABCG1	ABCG1
ABCG2	ABCG2
ABCG4	ABCG4
ABCG5	ABCG5
ABCG8	ABCG8
ABCP	ABCG2
ABCR	ABCA4
ABCX	ABCA7
ABD-B	HOXA9
ABDH19	PPME1
AB-DIP	QRICH1
ABERS	TBX22
ABETA	APP
A-BETA	SUCLA2
ABF-1	MSC
ABF1	MSC
ABG	A1BG
ABH1	ALKBH1
ABH2	ALKBH2
ABH3	ALKBH3
ABH4	ABHD4
ABH4	ALKBH4
ABH5	ALKBH5
ABH6	ALKBH6
ABH7	ALKBH7
ABH8	ALKBH8
ABH	ALKBH1
ABHD10	ABHD10
ABHD11	ABHD11
ABHD11-AS1	ABHD11-AS1
ABHD12A	ABHD12
ABHD12	ABHD12
ABHD12B	ABHD12B
ABHD13	ABHD13
ABHD14A	ABHD14A
ABHD14A-ACY1	ABHD14A-ACY1
ABHD14B	ABHD14B
ABHD15	ABHD15
ABHD16A	ABHD16A
ABHD16B	ABHD16B
